"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Test Header","7","","19","0","","0"
"0","Main Page.","0","","11","1","","0"
"0","Test Used Resources Page","1","","9","0","","0"
"0","The Start Unauthorized Page","3","","9","0","","0"
"0","Test Footer","0","","11","0","","0"
"4","The Exercises 'Words' Page on the 'ru' local","0","","11","0","","0"
"0","Test Specialists Page","0","","13","0","","0"
"0","Description Page.","0","","8","0","","0"
"0","The Contributors Page","0","","12","0","","0"
"4","The Exercises 'Similar phrases' Page on the 'ru' local","0","","11","0","","0"
"0","Speech exercises.","0","","0","13","","0"
"2","The Groups Page","1","","16","0","","0"
"0","The exercises subgroup 'Family' page in the series 'Words' on the 'ru' local","0","","5","0","","0"
"0","Test Authorized User Page","0","","2","0","","0"
"4","Test Registration Page","0","","5","0","","0"
"0","The Contacts Page","0","","11","0","","0"
"0","Login Page.","0","","1","0","","0"
"0","Test Profile Page","0","","1","0","","0"
